CACODE,population_exclude_foreign_worker_2016,population_exclude_foreign_worker_lte_age15_2016,population_exclude_foreign_worker_lte_age20_2016,no_of_voters,no_of_voted_voters,total_votes,candi_1,candi_2,candi_3,candi_4,candi_5,candi_6
A01,11485,8186,7791,"4,331",2043,2030,1090,940,,,,
A02,14994,3612,2891,"6,625",3013,2987,1521,1466,,,,
A03,16750,4157,3368,"6,849",2805,2768,1457,1311,,,,
A04,14853,6749,5869,"5,307",2163,2154,317,1837,,,,
A05,15054,4900,4095,"8,107",3334,3299,1455,1844,,,,
A06,16416,6875,5930,"7,009",3789,3769,1072,838,1859,,,
A07,15047,3213,2470,"8,205",4110,4060,1569,2491,,,,
A08,13925,5742,5052,"7,506",3949,3909,1898,2011,,,,
A09,19399,2965,2046,"9,699",4786,4725,2397,2328,,,,
A10,16904,4859,4016,"7,930",3269,3234,1336,1898,,,,
A11,14061,4771,4113,"7,293",3026,2994,1790,1204,,,,
A12,13278,7379,6809,"6,648",2827,2780,1344,1436,,,,
A13,10955,6763,6174,"5,167",2376,2332,1352,980,,,,
A14,13592,7541,7017,"6,637",3322,3275,1621,1654,,,,
A15,14222,5661,5051,"7,234",3559,3497,1878,1619,,,,
B01,12324,7788,7249,"4,946",2375,2350,1590,760,,,,
B02,12392,7786,7328,"5,985",2327,2282,915,1367,,,,
B03,11453,8246,7783,"4,969",1755,1741,723,1018,,,,
B04,13446,9727,9168,"6,270",0,0,,,,,,
B05,13821,7841,7421,"7,282",3316,3257,2236,1021,,,,
B06,10375,8224,7870,"5,168",0,0,,,,,,
B07,13104,7258,6592,"5,695",2566,2546,1148,1398,,,,
B08,12703,7181,6576,"5,993",2606,2577,1479,1098,,,,
B09,12961,7189,6311,"5,308",2474,2430,939,141,1350,,,
B10,11174,6440,6065,"5,350",2309,2277,1377,900,,,,
B11,11603,5653,4976,"5,083",1804,1792,1150,642,,,,
B12,13189,5572,5072,"4,726",1920,1900,437,1463,,,,
B13,11982,4006,3673,"5,012",2320,2298,1505,793,,,,
C01,16103,4979,4281,"8,816",4687,4630,3362,1268,,,,
C02,16322,5186,4635,"9,900",5311,5261,2587,2674,,,,
C03,20695,3760,3027,"9,319",4814,4786,1612,2008,955,211,,
C04,16838,6124,5424,"11,273",5191,5121,2720,2401,,,,
C05,12861,4601,4131,"6,413",3019,2980,1429,1444,107,,,
C06,17943,5662,4856,"10,963",4675,4618,1696,1810,1112,,,
C07,17420,3587,2744,"10,635",6332,6277,610,2025,3642,,,
C08,11839,7329,6665,"8,579",4488,4451,1629,69,1572,1181,,
C09,15284,5106,5106,"9,269",0,0,,,,,,
C10,12728,6678,6110,"8,277",4030,3993,1981,783,1229,,,
C11,14340,6720,5878,"11,185",5451,5332,195,1950,930,2257,,
C12,14930,6329,5421,"8,442",3700,3663,1436,2227,,,,
C13,14751,7288,6707,"9,116",4247,4225,1797,2314,114,,,
C14,12600,7909,7471,"7,368",0,0,,,,,,
C15,14235,6628,5982,"7,255",0,0,,,,,,
C16,14567,5706,5073,"8,728",0,0,,,,,,
C17,15348,6006,5161,"8,291",0,0,,,,,,
C18,20224,3335,2411,"9,637",0,0,,,,,,
C19,15210,4917,4364,"7,069",0,0,,,,,,
C20,15668,6194,5417,"8,948",0,0,,,,,,
C21,13272,7091,6711,"8,179",4414,4377,2338,2039,,,,
C22,12680,8419,7845,"7,662",0,0,,,,,,
C23,12729,6826,6273,"6,724",2736,2666,1010,1656,,,,
C24,13293,6689,6170,"8,311",4612,4567,1182,42,3343,,,
C25,13907,4710,4118,"8,230",5044,5007,29,2535,2443,,,
C26,12990,7555,7027,"7,753",4233,4198,1814,2384,,,,
C27,17959,4001,4001,"12,386",6149,6118,2808,3310,,,,
C28,19202,2833,2103,"8,691",4226,4178,1956,2222,,,,
C29,18726,4195,3270,"8,404",3675,3627,1658,977,992,,,
C30,11988,6318,5700,"8,117",0,0,,,,,,
C31,14466,6313,5617,"8,444",3894,3861,1391,2470,,,,
C32,11120,7696,7107,"8,078",4466,4413,1969,48,2396,,,
C33,12297,4853,4288,"7,074",3365,3330,2351,979,,,,
C34,14387,5962,5962,"8,337",3902,3889,1863,2026,,,,
C35,13252,8284,7467,"8,630",3966,3755,1514,2241,,,,
D01,18829,3449,2808,"10,343",4426,4381,1598,621,1936,226,,
D02,14463,10341,9672,"8,480",0,0,,,,,,
D03,12495,5076,4520,"6,040",2468,2311,755,1556,,,,
D04,15311,5418,4820,"10,264",5066,5055,177,1810,3068,,,
D05,11689,6246,5909,"9,030",4581,4558,2564,119,1854,21,,
D06,14059,6395,5410,"7,499",4701,4668,1845,2180,643,,,
D07,14147,6120,6120,"8,260",5277,5190,2245,2945,,,,
D08,13238,7361,6964,"10,876",5503,5445,94,2652,2699,,,
D09,13485,7840,7245,"7,585",3284,3261,1632,1629,,,,
D10,13940,5711,4964,"8,616",4569,4547,2089,21,2408,29,,
D11,16201,6219,5302,"5,773",3112,3096,1144,1952,,,,
D12,14359,6485,5974,"9,142",5021,4985,2762,2223,,,,
D13,16990,4779,3868,"9,058",0,0,,,,,,
D14,15971,5100,4532,"11,389",0,0,,,,,,
D15,17936,2929,2509,"8,976",4887,4835,2190,2645,,,,
D16,13301,7302,6393,"3,724",1442,1431,474,957,,,,
D17,17826,4677,3759,"7,582",3095,2992,408,752,1832,,,
E01,18743,2574,1768,"4,201",2061,2041,828,1213,,,,
E02,17513,4356,3581,"6,055",2169,2055,1531,524,,,,
E03,17667,3128,2439,"6,979",0,0,,,,,,
E04,20445,2790,1798,"7,641",3482,3422,1298,2124,,,,
E05,16678,7500,6554,"9,806",4612,4526,2053,2473,,,,
E06,16483,4280,4280,"5,911",0,0,,,,,,
E07,19091,4453,4453,"9,108",4834,4783,2859,1924,,,,
E08,16342,3709,3068,"5,095",2961,2945,1414,1531,,,,
E09,13484,5881,5314,"5,620",2652,2641,858,1611,172,,,
E10,15510,3833,3366,"6,514",2996,2970,1362,1608,,,,
E11,19530,4437,4437,"7,547",4081,3996,1363,2633,,,,
E12,22266,1802,1802,"7,421",3007,2992,606,962,1424,,,
E13,18973,3216,2233,"6,332",2597,2581,1712,869,,,,
E14,16741,3394,2833,"6,079",2747,2726,112,1442,1172,,,
