code,name_en,name_zh,18_20_male,18_20_female,18_20_total,18_20_percentage,21_25_male,21_25_female,21_25_total,21_25_percentage,26_30_male,26_30_female,26_30_total,26_30_percentage,31_35_male,31_35_female,31_35_total,31_35_percentage,36_40_male,36_40_female,36_40_total,36_40_percentage,41_45_male,41_45_female,41_45_total,41_45_percentage,46_50_male,46_50_female,46_50_total,46_50_percentage,51_55_male,51_55_female,51_55_total,51_55_percentage,56_60_male,56_60_female,56_60_total,56_60_percentage,61_65_male,61_65_female,61_65_total,61_65_percentage,66_70_male,66_70_female,66_70_total,66_70_percentage,71_above_male,71_above_female,71_above_total,71_above_percentage,,
A0101,JOINT PROFESSIONAL CENTRE,專業聯合中心,14,16,30,1.77%,34,28,62,3.66%,35,39,74,4.37%,37,48,85,5.02%,52,43,95,5.61%,62,85,147,8.69%,114,106,220,13.00%,109,114,223,13.18%,101,117,218,12.88%,87,87,174,10.28%,79,64,143,8.45%,122,99,221,13.06%,,99.97%
A0102,HONG KONG VISUAL ARTS CENTRE,香港視覺藝術中心,0,1,1,0.28%,6,1,7,1.99%,4,9,13,3.70%,7,4,11,3.13%,6,10,16,4.56%,14,18,32,9.12%,23,16,39,11.11%,17,22,39,11.11%,21,32,53,15.10%,24,23,47,13.39%,20,20,40,11.40%,27,26,53,15.10%,,99.99%
A0201,RAIMONDI COLLEGE,高主教書院,31,25,56,1.86%,56,58,114,3.78%,69,65,134,4.45%,67,52,119,3.95%,81,87,168,5.58%,128,143,271,8.99%,127,185,312,10.36%,222,255,477,15.83%,242,206,448,14.87%,185,173,358,11.88%,106,124,230,7.63%,173,153,326,10.82%,,100.00%
A0301,HONG KONG TRUE LIGHT KINDERGARTEN (CAINE ROAD),香港真光幼稚園,21,8,29,1.37%,52,47,99,4.69%,41,36,77,3.65%,48,32,80,3.79%,79,72,151,7.15%,76,99,175,8.29%,132,163,295,13.97%,160,173,333,15.77%,162,148,310,14.68%,118,93,211,9.99%,90,84,174,8.24%,102,76,178,8.43%,,100.02%
A0302,DEPARTMENT,食物環境衞生署食物安全中心,4,2,6,0.87%,13,7,20,2.89%,8,11,19,2.74%,19,14,33,4.76%,28,28,56,8.08%,35,29,64,9.24%,38,45,83,11.98%,56,33,89,12.84%,44,35,79,11.40%,41,44,85,12.27%,29,31,60,8.66%,58,41,99,14.29%,,100.02%
A0401,HONG KONG PARK SPORTS CENTRE,香港公園體育館,4,5,9,0.56%,28,22,50,3.11%,34,37,71,4.42%,36,42,78,4.85%,49,51,100,6.22%,68,81,149,9.27%,72,75,147,9.15%,90,110,200,12.45%,118,118,236,14.69%,125,109,234,14.56%,90,94,184,11.45%,83,66,149,9.27%,,100.00%
A0402,GERMAN SWISS INTERNATIONAL SCHOOL PEAK CAMPUS,德瑞國際學校山頂校舍,4,2,6,1.08%,11,17,28,5.04%,12,13,25,4.50%,10,11,21,3.78%,12,13,25,4.50%,13,19,32,5.76%,29,32,61,10.97%,52,44,96,17.27%,37,38,75,13.49%,38,37,75,13.49%,30,25,55,9.89%,39,18,57,10.25%,,100.02%
A0501,SAI YING PUN COMMUNITY COMPLEX COMMUNITY HALL,西營盤社區綜合大樓社區會堂,21,22,43,1.29%,74,84,158,4.74%,68,93,161,4.83%,88,83,171,5.13%,110,102,212,6.36%,132,161,293,8.79%,157,164,321,9.63%,209,242,451,13.53%,225,247,472,14.16%,195,185,380,11.40%,160,146,306,9.18%,206,160,366,10.98%,,100.02%
A0601,HKYWCA WESTERN DISTRICT INTEGRATED SOCIAL SERVICE CENTRE,香港基督教女青年會西環綜合社會服務處,30,36,66,1.74%,82,68,150,3.96%,94,87,181,4.78%,106,114,220,5.81%,174,160,334,8.81%,212,224,436,11.51%,203,200,403,10.64%,221,230,451,11.90%,195,223,418,11.03%,192,186,378,9.98%,138,135,273,7.21%,261,218,479,12.64%,,100.01%
A0701,SMITHFIELD SPORTS CENTRE,士美非路體育館,33,37,70,1.70%,88,87,175,4.26%,101,114,215,5.23%,155,117,272,6.62%,113,136,249,6.06%,158,173,331,8.05%,207,201,408,9.93%,227,241,468,11.39%,212,219,431,10.49%,178,195,373,9.08%,176,194,370,9.00%,356,392,748,18.20%,,100.01%
A0801,KENNEDY TOWN COMMUNITY COMPLEX (MULTI,堅尼地城社區綜合大樓,48,35,83,2.10%,93,79,172,4.36%,114,98,212,5.37%,107,129,236,5.98%,176,130,306,7.75%,166,182,348,8.81%,165,195,360,9.12%,224,228,452,11.45%,233,271,504,12.76%,196,219,415,10.51%,179,172,351,8.89%,268,242,510,12.91%,,100.01%
A0901,ST. JAMES' SETTLEMENT BELCHER KINDERGARTEN CHILD CARE CENTRE,聖雅各福群會寶翠園幼稚園幼兒中心,38,46,84,1.76%,103,91,194,4.05%,108,130,238,4.97%,110,109,219,4.58%,159,174,333,6.96%,214,272,486,10.15%,270,300,570,11.91%,351,321,672,14.04%,296,273,569,11.89%,258,237,495,10.34%,198,180,378,7.90%,259,289,548,11.45%,,100.00%
A1001,SHEK TONG TSUI SPORTS CENTRE,石塘咀體育館,40,18,58,1.77%,80,79,159,4.86%,96,90,186,5.69%,117,100,217,6.64%,121,114,235,7.19%,114,121,235,7.19%,140,135,275,8.41%,167,179,346,10.58%,200,208,408,12.48%,178,177,355,10.86%,146,153,299,9.15%,266,230,496,15.17%,,99.99%
A1101,CENTRAL AND WESTERN / ISLANDS SOCIAL SECURITY FIELD UNIT,中西區及離島區社會保障辦事處,28,17,45,2.16%,46,38,84,4.04%,71,46,117,5.63%,72,51,123,5.92%,69,58,127,6.11%,70,67,137,6.59%,89,81,170,8.18%,93,112,205,9.86%,121,118,239,11.50%,111,148,259,12.46%,123,109,232,11.16%,192,149,341,16.40%,,100.01%
A1102,SUN YAT SEN MEMORIAL PARK SPORTS CENTRE,中山紀念公園體育館,10,13,23,2.43%,27,25,52,5.49%,31,31,62,6.55%,34,32,66,6.97%,25,27,52,5.49%,33,26,59,6.23%,28,41,69,7.29%,45,57,102,10.77%,53,69,122,12.88%,70,69,139,14.68%,50,33,83,8.76%,66,52,118,12.46%,,100.00%
A1201,SHEUNG WAN POST OFFICE,上環郵政局,25,33,58,2.05%,51,56,107,3.78%,83,84,167,5.91%,76,79,155,5.48%,113,101,214,7.57%,81,138,219,7.75%,119,125,244,8.63%,131,145,276,9.76%,173,213,386,13.65%,177,181,358,12.66%,157,109,266,9.41%,211,166,377,13.34%,,99.99%
A1301,SAN WUI COMMERCIAL SOCIETY SCHOOL,新會商會學校,18,14,32,2.14%,39,28,67,4.49%,29,26,55,3.69%,45,39,84,5.63%,65,68,133,8.91%,80,87,167,11.19%,79,67,146,9.79%,106,104,210,14.08%,78,87,165,11.06%,82,57,139,9.32%,58,55,113,7.57%,96,85,181,12.13%,,100.00%
A1302,SKH ST. MATTHEW'S PRIMARY SCHOOL,聖公會聖馬太小學,8,4,12,1.36%,8,15,23,2.60%,19,16,35,3.96%,22,21,43,4.86%,29,34,63,7.13%,35,43,78,8.82%,42,40,82,9.28%,38,69,107,12.10%,48,59,107,12.10%,57,60,117,13.24%,38,45,83,9.39%,72,62,134,15.16%,,100.00%
A1401,TSUNG TSIN MISSION OF HONG KONG KAU YAN CHURCH AND KAU YAN SCHOOL,基督教香港崇真會救恩堂及救恩學校,38,28,66,1.99%,90,81,171,5.15%,90,86,176,5.30%,103,97,200,6.02%,105,118,223,6.71%,128,151,279,8.40%,143,160,303,9.12%,185,245,430,12.94%,230,224,454,13.67%,176,176,352,10.60%,160,138,298,8.97%,184,186,370,11.14%,,100.01%
A1501,LI SING PRIMARY SCHOOL,李陞小學,33,36,69,1.94%,83,64,147,4.13%,89,74,163,4.58%,103,95,198,5.56%,128,128,256,7.19%,121,150,271,7.61%,162,182,344,9.67%,202,238,440,12.36%,248,227,475,13.35%,209,214,423,11.89%,164,154,318,8.94%,231,224,455,12.78%,,100.00%
B0101,HENNESSY ROAD GOVERNMENT PRIMARY SCHOOL,軒尼詩道官立小學,21,12,33,1.39%,43,35,78,3.28%,67,56,123,5.18%,61,50,111,4.67%,63,69,132,5.56%,90,100,190,8.00%,97,97,194,8.17%,117,125,242,10.19%,144,148,292,12.29%,144,149,293,12.34%,105,113,218,9.18%,239,230,469,19.75%,,100.00%
B0201,TANG SHIU KIN VICTORIA GOVERNMENT SECONDARY SCHOOL,鄧肇堅維多利亞官立中學,20,11,31,1.33%,38,33,71,3.05%,57,55,112,4.81%,63,65,128,5.50%,72,91,163,7.00%,105,94,199,8.55%,89,84,173,7.43%,108,128,236,10.14%,134,110,244,10.49%,120,146,266,11.43%,132,127,259,11.13%,228,217,445,19.12%,,99.98%
B0301,GERMAN SWISS INTERNATIONAL SCHOOL WAN CHAI CAMPUS (FORMER: WANCHAI SCHOOL),德瑞國際學校灣仔校舍,12,11,23,1.31%,28,22,50,2.85%,45,37,82,4.67%,46,36,82,4.67%,60,50,110,6.27%,59,66,125,7.12%,72,69,141,8.03%,80,98,178,10.14%,99,112,211,12.02%,100,125,225,12.82%,98,88,186,10.60%,187,155,342,19.49%,,99.99%
B0501,THE INTERNATIONAL MONTESSORI SCHOOL ,蒙特梭利國際學校,11,12,23,1.92%,22,23,45,3.75%,18,25,43,3.58%,37,30,67,5.58%,35,44,79,6.58%,64,53,117,9.74%,57,63,120,9.99%,57,74,131,10.91%,85,69,154,12.82%,70,78,148,12.32%,58,62,120,9.99%,97,57,154,12.82%,,100.00%
B0502,"COVERED CARPARK OF TSUEN WING LAU, LAI TAK TSUEN",勵德邨邨榮樓有蓋停車場,9,13,22,1.04%,18,30,48,2.27%,34,31,65,3.07%,39,44,83,3.92%,44,43,87,4.11%,90,78,168,7.94%,46,51,97,4.59%,72,75,147,6.95%,71,95,166,7.85%,96,140,236,11.16%,117,216,333,15.74%,355,308,663,31.35%,,99.99%
B0701,WAN CHAI DISTRICT WOMEN'S ASSOCIATION,港灣婦女會,17,19,36,1.40%,47,47,94,3.66%,39,45,84,3.27%,73,79,152,5.92%,106,106,212,8.26%,133,125,258,10.05%,143,154,297,11.57%,169,192,361,14.07%,140,138,278,10.83%,118,134,252,9.82%,100,97,197,7.68%,171,174,345,13.45%,,99.98%
B0801,CCC KUNG LEE COLLEGE,中華基督教會公理,15,17,32,1.23%,38,51,89,3.42%,54,41,95,3.65%,54,55,109,4.18%,68,72,140,5.37%,126,149,275,10.55%,163,153,316,12.13%,185,214,399,15.31%,184,181,365,14.01%,159,138,297,11.40%,128,114,242,9.29%,136,111,247,9.48%,,100.02%
B0901,LEIGHTON HILL COMMUNITY HALL,禮,15,18,33,1.33%,57,46,103,4.16%,45,43,88,3.56%,49,58,107,4.32%,68,71,139,5.62%,92,90,182,7.36%,127,149,276,11.16%,163,197,360,14.55%,181,185,366,14.79%,183,158,341,13.78%,129,95,224,9.05%,138,117,255,10.31%,,99.99%
B1001,WONG NAI CHUNG SPORTS CENTRE,黃泥涌體育館,12,14,26,1.13%,28,15,43,1.86%,32,27,59,2.56%,66,72,138,5.98%,73,109,182,7.88%,119,112,231,10.00%,127,126,253,10.96%,127,120,247,10.70%,116,133,249,10.78%,103,124,227,9.83%,105,123,228,9.87%,195,231,426,18.45%,,100.00%
B1101,MARYMOUNT SECONDARY SCHOOL,瑪利曼中學,9,9,18,1.22%,27,24,51,3.45%,22,20,42,2.84%,32,29,61,4.13%,26,44,70,4.74%,54,74,128,8.67%,72,86,158,10.70%,86,90,176,11.92%,102,90,192,13.00%,109,108,217,14.69%,90,77,167,11.31%,111,86,197,13.34%,,100.01%
B1102,HONG KONG CHILDREN & YOUTH SERVICES SING WOO CHILDREN & YOUTH CENTRE,香港青少年服務處成和青少年中心,0,3,3,0.92%,7,1,8,2.45%,5,10,15,4.59%,6,6,12,3.67%,11,7,18,5.50%,16,15,31,9.48%,17,18,35,10.70%,17,15,32,9.79%,30,23,53,16.21%,22,17,39,11.93%,16,18,34,10.40%,29,18,47,14.37%,,100.01%
B1201,WAN CHAI ACTIVITIES CENTRE,灣仔活動中心,17,9,26,1.35%,32,35,67,3.49%,45,31,76,3.96%,46,57,103,5.36%,61,66,127,6.61%,73,75,148,7.71%,91,91,182,9.48%,104,109,213,11.09%,99,130,229,11.93%,93,105,198,10.31%,142,139,281,14.64%,138,132,270,14.06%,,99.99%
B1301,METHODIST CENTRE,循道衛理中心,18,18,36,1.55%,37,34,71,3.06%,52,51,103,4.44%,54,53,107,4.61%,64,62,126,5.43%,69,98,167,7.20%,101,120,221,9.53%,110,130,240,10.34%,121,165,286,12.33%,123,132,255,10.99%,116,126,242,10.43%,215,251,466,20.09%,,100.00%
C0101,EASTERN DISTRICT JPC CLUB HOUSE,東區少年警訊會所,29,54,83,1.77%,96,102,198,4.22%,103,118,221,4.72%,114,132,246,5.25%,177,171,348,7.42%,180,231,411,8.77%,224,251,475,10.13%,298,333,631,13.46%,279,303,582,12.42%,298,303,601,12.82%,233,185,418,8.92%,238,235,473,10.09%,,99.99%
C0201,ST. ANNA ANGLO,聖安娜中英文幼稚園,19,24,43,1.63%,46,49,95,3.61%,53,52,105,3.98%,55,65,120,4.55%,103,119,222,8.43%,112,131,243,9.22%,109,149,258,9.79%,157,188,345,13.09%,159,167,326,12.37%,128,148,276,10.47%,128,134,262,9.94%,191,149,340,12.90%,,99.98%
C0202,TAI KOO SHING POST OFFICE,太古城郵政局,20,19,39,1.46%,56,47,103,3.85%,50,44,94,3.51%,58,51,109,4.07%,69,94,163,6.09%,102,112,214,8.00%,140,162,302,11.29%,140,185,325,12.14%,185,179,364,13.60%,190,158,348,13.00%,111,142,253,9.45%,201,161,362,13.53%,,99.99%
C0301,SAI WAN HO HEALTH CENTRE,西灣河健康中心,50,54,104,2.16%,100,118,218,4.53%,99,106,205,4.26%,128,137,265,5.50%,168,199,367,7.62%,193,210,403,8.37%,220,262,482,10.01%,302,369,671,13.94%,315,268,583,12.11%,235,251,486,10.10%,177,178,355,7.37%,339,336,675,14.02%,,99.99%
