id,year,CACODE,candi_number,name_chi,alias_chi,name_eng,alias_eng,gender,age,estimated_birth,occupation,win_or_not,uncontested_or_not,political_affiliation,camp,votes,percentage
1943_阮品強,1999,A01,,阮品強,,,,男,56,1943,中學教師,Y,,民主黨,泛,1179,67.9
1961_李萬權,1999,A01,,李萬權,,,,男,38,1961,電訊工程經理,N,,民建聯,建,546,31.4
1961_郭家麒,1999,A02,,郭家麒,,,,男,38,1961,醫生,Y,,,泛,1074,55.4
1945_王敏賢,1999,A02,,王敏賢,曹王敏賢,,,女,54,1945,大學高級講師,N,,港進聯,建,851,43.9
1959_鄭麗琼,1999,A03,,鄭麗琼,,,,女,40,1959,社區工作主任,Y,,民主黨,泛,1014,70.9
1963_蘇麗仙,1999,A03,,蘇麗仙,,,,女,36,1963,保險營業經理,N,,民建聯,建,402,28.1
1960_梁永安,1999,A04,,梁永安,,,,男,39,1960,執業會計師,N,,,建,412,34.5
1947_田北俊,1999,A04,,田北俊,,,,男,52,1947,公司主席,Y,,自由黨,建,774,64.9
1949_陳捷貴,1999,A05,,陳捷貴,,,,男,50,1949,大學宿舍經理,Y,Uncontested,,建,,
1966_陳國樑,1999,A06,,陳國樑,,,,男,33,1966,市政局議員,N,,民主黨,泛,1079,46.7
1956_楊位款,1999,A06,,楊位款,,,,男,43,1956,銀行副經理,Y,,民建聯,建,1217,52.7
1973_莫佩嫺,1999,A07,,莫佩嫺,,,,女,26,1973,社區工作主任,N,,,泛,1141,42
1951_葉國謙,1999,A07,,葉國謙,,,,男,48,1951,校長助理,Y,,民建聯,建,1552,57.1
1945_陳特楚,1999,A08,,陳特楚,,,,男,54,1945,行政董事,Y,Uncontested,自由黨,建,,
1970_林其盛,1999,A09,,林其盛,,,,男,29,1970,專業保險顧問,N,,民主黨,泛,1157,47.5
1958_黃哲民,1999,A09,,黃哲民,,,,男,41,1958,銀行副經理,Y,,民建聯,建,1262,51.8
1956_陳財喜,1999,A10,,陳財喜,,,,男,43,1956,董事,Y,,,其他,1309,48.2
1973_黃澤禮,1999,A10,,黃澤禮,,,,男,26,1973,會計秘書,N,,民主黨,泛,762,28
1958_李躍進,1999,A10,,李躍進,,,,男,41,1958,公司東主,N,,民建聯,建,632,23.2
1958_黎國雄,1999,A11,,黎國雄,,,,男,41,1958,教育行政人員,Y,,,其他,1248,49.7
1951_陳耀強,1999,A11,,陳耀強,,,,男,48,1951,行政人員,N,,民建聯,建,1243,49.5
1960_甘乃威,1999,A12,,甘乃威,,,,男,39,1960,社區工作主任,Y,,民主黨,泛,1468,67.7
1953_袁照興,1999,A12,,袁照興,,,,男,46,1953,行政人員,N,,民建聯,建,688,31.7
1957_何俊麒,1999,A13,,何俊麒,,,,男,42,1957,見習律師,Y,,民主黨,泛,898,64.3
1968_鄭志強,1999,A13,,鄭志強,,,,男,31,1968,議員助理,N,,民建聯,建,487,34.9
1973_梁耀祖,1999,A14,,梁耀祖,,,,男,26,1973,見習律師,Y,,民主黨,泛,1063,58.1
1963_唐偉源,1999,A14,,唐偉源,,,,男,36,1963,行政人員,N,,民建聯,建,739,40.4
1961_戴卓賢,1999,A15,,戴卓賢,,,,男,38,1961,文化出版,Y,,一二三,泛,1096,51.7
1959_溫祖堯,1999,A15,,溫祖堯,,,,男,40,1959,印刷商人,N,,民主黨,泛,983,46.4
1953_黃漢清,1999,B01,,黃漢清,,,,男,46,1953,成本工程師,Y,Uncontested,華革會,建,,
1946_鄭琴淵,1999,B02,,鄭琴淵,,,,女,53,1946,全職議員,Y,Uncontested,民建聯,建,,
1954_孫啟昌,1999,B03,,孫啟昌,,,,男,45,1954,社團活動中心總幹事,Y,Uncontested,民建聯,建,,
1954_謝永齡,1999,B04,,謝永齡,,,,男,45,1954,大學副教授,Y,,民主黨,泛,783,45.6
1969_李均頤,1999,B04,,李均頤,,,,女,30,1969,公司常務董事,N,,民建聯,建,630,36.7
1976_李兆富,1999,B04,,李兆富,,,,男,23,1976,議員助理,N,,自由黨,建,289,16.8
